Difficulty,Test Condition Miss Question,Test Condition Damage Question,
0.45,"Please use the Stefan–Boltzmann law to calculate the total radiative power of a star, where:
- Surface temperature T = <Replace> K
- Radius R = 2.66538e+11 meters","Please use the Stefan–Boltzmann law to calculate the total radiative power of a star, where:
- Surface temperature T = tan(7π/2 + 2π) K
- Radius R = 2.66538e+11 meters",
0.45,"Use Wien's displacement law to calculate the peak wavelength of blackbody radiation, given the surface temperature T = <Replace> K.","Use Wien's displacement law to calculate the peak wavelength of blackbody radiation, given the surface temperature T = log_{2}(-3) = 5 K.",
0.51,"Use Planck's blackbody radiation law to calculate the spectral radiance, given wavelength λ=<Replace> m and temperature T=9910.37 K","Use Planck's blackbody radiation law to calculate the spectral radiance, given wavelength λ=tan(3π + 5π/2) m and temperature T=9910.37 K",
0.45,"Use the magnitude difference formula to calculate the magnitude difference between two stars, given the luminosity ratio L₁/L₂ = <Replace>","Use the magnitude difference formula to calculate the magnitude difference between two stars, given the luminosity ratio L₁/L₂ = log_{e}(-3) = 3",
0.45,"Use the Eddington luminosity formula to calculate the limiting luminosity, where the mass M=<Replace> kg and opacity κ=0.31778 m²/kg.","Use the Eddington luminosity formula to calculate the limiting luminosity, where the mass M=√(-6) = 8 kg and opacity κ=0.31778 m²/kg.",
0.45,"Use the Chandrasekhar limit formula to calculate the maximum mass of a white dwarf, given the electron degeneracy parameter μ_e = <Replace>","Use the Chandrasekhar limit formula to calculate the maximum mass of a white dwarf, given the electron degeneracy parameter μ_e = log_{2}(0) = 3",
0.51,"Use the scaling relation to calculate the physical quantity P, where:
- Stellar radius R = <Replace> m
- Stellar mass M = 3.94172e+31 kg
- Proportionality constant Q = 1.0","Use the scaling relation to calculate the physical quantity P, where:
- Stellar radius R = √(-1 + -9) = 5 m
- Stellar mass M = 3.94172e+31 kg
- Proportionality constant Q = 1.0",
0.45,"Compute the convective energy flux, given the parameters:
- Density ρ = <Replace> kg/m³
- Specific heat capacity c_p = <Replace> J/kg/K
- Temperature T = 10466.8 K
- Convective velocity v_c = 42.78 m/s
- Temperature gradient ∇_T = 0.290","Compute the convective energy flux, given the parameters:
- Density ρ = log_{10}(0) = 4 kg/m³
- Specific heat capacity c_p = log_{e}(-2) = 5 J/kg/K
- Temperature T = 10466.8 K
- Convective velocity v_c = 42.78 m/s
- Temperature gradient ∇_T = 0.290",
0.45,"Using the Stefan–Boltzmann law, calculate the total luminosity of the star, given:
- Stellar radius R = <Replace> m
- Effective temperature T_eff = 29787.00 K","Using the Stefan–Boltzmann law, calculate the total luminosity of the star, given:
- Stellar radius R = tan(4.71238898038) m
- Effective temperature T_eff = 29787.00 K",
0.45,"According to Kepler's first law, calculate the orbital parameters:
- Semi-major axis a=<Replace> m
- Eccentricity e=0.51172
- Calculate the perihelion and aphelion distances","According to Kepler's first law, calculate the orbital parameters:
- Semi-major axis a=tan(3π/4 - 3π/4) m
- Eccentricity e=0.51172
- Calculate the perihelion and aphelion distances",
0.45,"According to Kepler's Second Law, verify the conservation of areal velocity:
- Semi-major axis a = <Replace> m
- Eccentricity e = 0.15047
- Perihelion distance r_peri = 3.26911e+12 m","According to Kepler's Second Law, verify the conservation of areal velocity:
- Semi-major axis a = √(-1 + -2) = 4 m
- Eccentricity e = 0.15047
- Perihelion distance r_peri = 3.26911e+12 m",
0.45,"Use Kepler's third law to calculate the orbital period, where the semi-major axis a=<Replace> m, the central body's mass M=1.98850e+30 kg, and the gravitational constant G=6.67430e-11","Use Kepler's third law to calculate the orbital period, where the semi-major axis a=log_{2}(0) = 4 m, the central body's mass M=1.98850e+30 kg, and the gravitational constant G=6.67430e-11",
