Difficulty,Test Ori Question,Test Ori Final Answer
0.455,"You are an astronaut exploring a newly discovered planet Y. Planet Y has a mass that is 4.32 times the mass of Earth and a radius that is 0.70 times the radius of Earth.

If your mass is 78.1 kg, determine:
1. The formula for the gravitational force acting on you on Earth.
2. The gravitational force acting on you on planet Y.
3. How the gravitational force on planet Y compares to that on Earth.","Gravitational force on Earth: 767.24 N
Gravitational force on planet Y: 6792.57 N
Planet Y exerts 8.85 times the gravitational force of Earth."
0.525,"You are an astronaut exploring a newly discovered planet Y.

Planet Y has a mass that is **4.97 times** the mass of Earth and a radius that is **3.21 times** the radius of Earth.

How does the gravitational force acting on you while standing on planet Y compare to the gravitational force on Earth?

Express your answer as a decimal multiplier of Earth's gravitational force.",The gravitational force on planet Y is **0.4823 times** the gravitational force on Earth.
0.35,"You are an astronaut visiting a newly discovered planet Y. This planet has a mass 4.36 times that of Earth and a radius 1.73 times Earth's radius.

How does your weight on planet Y compare to your weight on Earth? Give your answer as a multiplier relative to your Earth weight.",You would weigh approximately 1.46 times your Earth weight.
0.35,"- **Check Your Understanding – Height of a Geosynchronous Orbit**
- Given:
  - Gravitational parameter of Earth, μE = 399507.5 km³ s⁻²
  - Angular velocity of Earth, ωE = 7.284e-05 rad s⁻¹
  - Radius of the Earth, RE = 6384.0 km

- How high above the surface of the Earth is a satellite in a geosynchronous orbit? Assume a circular orbit. Provide the distance in kilometers.","The satellite is approximately 35,841.7 km above the Earth's surface."
0.525,"The planet Planet A orbits its star in 370.223 days. The semi-major axis of Planet A's orbit is 1.930e+09 km.

Another planet, Planet B, orbits the same star with a semi-major axis of 3.284e+09 km.

Using Kepler’s third law, determine the orbital period of Planet B. Provide your answer in years.","The orbital period of Planet B is approximately 821.56 days, or 2.22 years."
0.525,"An interplanetary probe is placed into a circular orbit around a planet. The probe orbits at an altitude of 18,753 km above the planet’s surface, with an orbital velocity of 1.32 km/s. The diameter of the planet is 10,235 km, and the planet orbits the Sun at a distance of 2.349 AU.

Given:
1 AU = 1.495 × 10⁸ km
1 year = 3.156 × 10⁷ s

Using Kepler’s third law, calculate the mass of the planet in terms of the mass of the Sun, M_S. Provide your answer in decimal form with units of M_S.",M_P = 3.141e-07 M_S
0.525,"A comet moves in an elliptical orbit about the Sun in the same plane as the Earth. At a point where the comet crosses the Earth's orbit, its heliocentric speed is 28.63 km/s. Assume the Earth's orbit is circular with a radius of 1.0 AU.

Using the vis-viva equation, calculate the semi-major axis of the comet's orbit.

What is the semi-major axis length of the comet's orbit in Astronomical Units (AU)?",The semi-major axis of the comet's orbit is approximately 0.930 AU.
0.35,"A comet moves in an elliptical orbit about the Sun, coplanar with the Earth's orbit. It is observed to cross the Earth's circular orbit (radius = 1.00 AU) with a heliocentric speed of 34.28 km/s at a true anomaly of 63.3°. 

Assuming the gravitational parameter of the Sun is $\mu = 1.327 \times 10^{11}\ \mathrm{km^3\,s^{-2}}$, determine the eccentricity of the comet's orbit.",0.4377
0.595,"A comet moves in an elliptical orbit about the Sun, coplanar with Earth's orbit. The comet is observed to cross Earth's circular orbit (radius = 1.0 AU) with a heliocentric speed of 31.55 km/s at a true anomaly of 143.8°. 

Assuming the Sun’s gravitational parameter is normalized, calculate:
1) The semi-major axis of the comet’s orbit
2) The eccentricity of the orbit
3) The time until the comet next crosses Earth's orbit

Provide the time in years.","Semi-major axis: 1.139 AU
Eccentricity: 0.9114
Time until next Earth-orbit crossing: 1.150 years"
0.525,"An artificial probe is orbiting a planet in a circular orbit. The planet has a radius of 4495 km. The probe initially orbits at an altitude of 18597 km above the surface and must be transferred to a higher circular orbit at an altitude of 27795 km using a Hohmann transfer orbit.

Assume the gravitational parameter of the planet is 3.31e+04 km³/s².

What is the first velocity increment (ΔV₁) required to place the probe onto the Hohmann transfer orbit?",ΔV₁ = 0.096 km/s
0.455,"An unmanned space probe is placed into a circular orbit around Mercury. The probe's final orbital altitude is 25345 km above the surface of the planet. The diameter of Mercury is given as 10477 km.

What is the final orbit radius (measured from the center of Mercury) of the probe? Express your answer in kilometers.",The final orbit radius is 30583.5 km.
0.455,"Calculate the two velocity increments required to change the orbit of a space probe from a circular orbit at 18579 km above the surface of Mercury to another circular orbit at an altitude of 35755 km above the surface. Assume a Hohmann cotangential elliptic transfer orbit. The diameter of Mercury is 10138 km.

Note: 1 AU = 1.495 × 10^8 km; 1 year = 3.156 × 10^7 s.

What gravitational parameter for Mercury (G_M) is used in the calculation?","The gravitational parameter used for Mercury is:

\[
G_M = 9.240787e-06 \; \text{AU}^3/\text{year}^2
\]"
