Ori Question,Ori Solution,Ori Final Answer,Image Lable,Image Name,Difficulty
"The angular resolution of the human eye is 14/0.6 = 23”, while that of a 2.16-meter telescope is 14/216 = 0.06”. Based on these data, the human eye can distinguish details separated by 10 cm at a distance of 0.9 km, whereas the 2.16-meter telescope can extend this capability to more than 300 km. However, this is an ideal situation considering only the diffraction limit. In reality, the resolution is affected not only by diffraction but also by the quality of the optical system, as well as atmospheric transparency and stability. In astronomy, the degradation of stellar image quality and resolution caused by atmospheric turbulence and scattering is called *seeing*, and the size of the seeing disk is used to evaluate the atmospheric optical quality at a telescope site. Even at observatory sites with excellent seeing, the seeing disk can still reach about 1”. In modern cities, sky light pollution is severe: not only is the resolution extremely poor, but even the basic “ability to see” is greatly diminished. People who have never left large cities have never seen the magnificent sight of a star-studded sky, nor have they appreciated the beauty of the bright Milky Way. Lacking direct experience inevitably weakens one’s affection for nature and spirit of exploration. <image>JSTL-Fig-1</image> As shown in the figure, some computed data under the assumption of exceptionally good atmospheric conditions are listed. Now, based on the limiting magnitude *m*, where a star of magnitude *m* produces an illumination $E_L = 2.54 \times 10^{-6} \times 10^{-0.4m}$ lux, calculate the distance *r* at which a “single candle flame” can be seen. ","Step 1: The limiting magnitude is the magnitude of the faintest celestial object that can be seen. Since a star of magnitude *m* produces an illumination of $E_L = 2.54 \times 10^{-6} \times 10^{-0.4m}$ lux, this is the minimum illumination that can be “seen.” Because illumination is inversely proportional to the square of the distance, a candle produces an illumination of 1 lux at a distance of 1 meter. Therefore, at a distance *r* meters, the illumination produced by a candle is $1/r^2$ lux. When this illumination equals $E_L$, the corresponding *r* is the distance at which a candle can be seen. Thus, from $1/r^2 = 2.54 \times 10^{-6} \times 10^{-0.4m}$, we can solve for *r* in meters. Hence,

Get: 

$r = \frac{1}{\sqrt{2.54 \times 10^{-6} \times 10^{-0.4m}}}$ meters  
$= \frac{1}{\sqrt{2.54}} \times 10^{0.2m}$ kilometers  
$= 0.6275 \times 10^{0.2m}$ kilometers.

Here *m* is the limiting magnitude. For the human eye, *m = 6.5*, so $r = 0.6275 \times 10^{1.3}$ kilometers $= 12.5$ kilometers.

Final_answer: $\boxed{r = 12.5 km}$  ",r = 12.5 km,Yes,JSTL-Fig-1,0.63
"<image>JSTL-Fig-2</image>As shown in the figure, David is researching an Earth-like exoplanet near the constellation of Bootes, orbiting a star twice the mass of our Sun. On March 14, 2025, the planet was observed at 3 AU from its parent star. After some time, David observes it again and finds that it has already passed its farthest point from the star and is now at 4 AU. If the planet is known to have a period of 5 years and an eccentricity of 0.5, what is the shortest amount of time that could have passed since the first observation on March 14, 2025? Assume that David views the orbit face-on and that the exoplanet’s velocity component along the semimajor axis has opposite sign at the two observation points.","Step1: First, we need to find the planet’s semi-major axis through the Kepler’s third law.

Get:

$\frac{a^3}{T^2} = M$

$a = \sqrt[3]{MT^2} = \sqrt[3]{2 \times 5^2} \approx 3.684 \text{ AU}$

Step2: Next, let's find the true anomaly at 3 AU and at 4 AU. This is to give the position of the planet in the ellipse orbit. Remember that when the planet is at 3 AU, it is before the planet passes its farthest distance to its parent star, i.e. its true anomaly must be between $0^\circ$ and $180^\circ.$ This also means that the true anomaly when the planet is at 4 AU must be between $180^\circ$ and $360^\circ$ since it has passed its farthest distance.

Get: 

$r=\frac{a(1-e^{2})}{1+e\cos f}$

$\cos f=\frac{1}{e}\left(\frac{a(1-e^{2})}{r}-1\right)$

$f_{3}\text{ AU }=99^{\circ}5^{\prime}27^{\prime\prime}$

$f_{4}\text{ AU }=231^{\circ}47^{\prime}36^{\prime\prime}$

Step3: From the true anomaly, we must convert it to eccentric anomaly. Similar to before, the eccentric anomaly when the planet is at 3 AU must be between $0^\circ$ and $180^\circ$ and the eccentric anomaly when the planet is at 4 AU must be between 180° and 360°.

Get:

$\cos E = \frac{e + \cos f}{1 + e \cos f}$

$E_{3 \text{ AU}} = 68^\circ 12^{\prime} 7.2^{\prime\prime}$

$E_{4 \text{ AU}} = 260^\circ 7^{\prime} 18.9^{\prime\prime}$

Step4: From the eccentric anomaly, we must convert it to mean anomaly. Similar to before, the mean anomaly when the planet is at 3 AU must be between 0 and $\pi$ and the mean anomaly when the planet is at 4 AU must be between π and 2π. (The calculation below is in radians)

Get:

$M = E - e \sin E$

$M_{3 \text{ AU}} = 0.7261 \text{ rad}$

$M_{4 \text{ AU}} = 5.0326 \text{ rad}$

Step5: From the mean anomaly, we can find the elapsed time since March 14, 2025.

Get:

$M = \frac{2\pi}{T} \times (t - t_0)$

$\Delta M = \frac{2\pi}{T} \Delta t$

$\Delta t = \Delta M \times \frac{T}{2\pi} = (M_{4 \text{ AU}} - M_{3 \text{ AU}}) \times \frac{5 \text{ yrs}}{2\pi}$

$\Delta t \approx 3.427 \text{ years}$

Final_answer:  $\boxed{\Delta t \approx 3.427 \text{ years}}$",$\Delta t \approx 3.427 \text{ years}$,Yes,JSTL-Fig-2,1.1025
"<image>JSTL-Fig-3</image>It may be useful to know the semi-latus rectum of an ellipse is the distance between one of its foci and the point on the ellipse immediately above or below it, as shown in the diagram below. Consider a highly eccentric planet with a semi-latus rectum that is nearly a hundred times smaller than its semi-major axis. What is its eccentricity?","Step1: By constructing a right triangle, using the two foci and the point on the semi-latus rectum, we can find that the semi-latus rectum length $\ell$ is related to the semi-major axis $a$ and the eccentricity $e$.

Get:

$y^2 = \ell^2 = 4a^2e^2$

where $y$ is the distance between the point on the semi-latus rectum and the other focus (the one not directly below it), i.e., the hypotenuse of the triangle.

Step2: Since an ellipse is defined such that all points on its circumference have a constant sum of distances from the foci $2a$.

Get:

$y + \ell = 2a$

Step3: We can now solve these equations, most easily by using difference of squares on the first and then dividing by the second to obtain $y - \ell = 2ae^2$, and it is now easy to see that $\ell = a(1 - e^2)$. We now rearrange for $e = \sqrt{1 - \frac{\ell}{a}} \approx 1 - \frac{1}{2}\frac{\ell}{a}$. Plugging in $\frac{\ell}{a} = 0.01$

Get:

$e=0.995$.

Final_answer:  $\boxed{e=0.995}$",$e=0.995$,Yes,JSTL-Fig-3,0.9555
"<image>JSTL-Fig-4</image>As shown in the figure, what is the geodesic distance between Boston (42°21'37"" N, 71°3'28"" W) and Mumbai (19°04'34"" N, 72°52'39"" E)? Assume that the Earth is perfectly spherical.","Step1: If we project it to Earth, point A would be the North Pole, point B would be Boston, and point C would be Mumbai. From this, we can infer that side a is the geodesic distance. With the cosine formula:

$\cos a = \cos b \cos c + \sin b \sin c \cos A = \cos(90 - \phi_{Boston}) \cos(90 - \phi_{Mumbai}) + \sin(90 - \phi_{Boston}) \sin(90 - \phi_{Mumbai}) \cos(\lambda_{Boston} - \lambda_{Mumbai})$

Get:

$a \approx 110°8'20'' \approx 1.9223 \text{ rad}$

Step2: Now, convert the geodesic distance from angle to length unit

Get:

$\text{distance} \approx a \times R_{⊕} \approx 1.9223 \times 6371 \text{ km} \approx 12250 \text{ km}$


Final_answer:  $\boxed{\text{distance} \approx 12250 \text{ km}}$",$\text{distance} \approx 12250 \text{ km}$,Yes,JSTL-Fig-4,0.9555
"<image>JSTL-Fig-5</image>As shown in the figure, let's assume that on an expedition mission to Mars, we take a telescope with 0.01 arcsecond angular resolution from earth. What is the ratio of the number of the stars we can measure the parallax distance to using this telescope on Mars compared to earth? The semimajor axis of Mars is 1.524 AU.","Step1: According to the figure below,

for a given small $\theta$ we can have:

$\tan(\theta) \approx \theta \approx \frac{r}{d} \rightarrow \theta = \text{const.} = \frac{r_e}{d_e} = \frac{r_m}{d_m}$

$\frac{d_m}{d_e} = \frac{r_m}{r_e}$

Let N be the number of observed stars:

Get:

$N \propto d^3 \rightarrow \frac{N_m}{N_e} = \left(\frac{d_m}{d_e}\right)^3 = \left(\frac{1.5}{1}\right)^3 \approx 4$

Final_answer:  $\boxed{N \approx 4}$",$N \approx 4$,Yes,JSTL-Fig-5,0.735
"<image>JSTL-Fig-6</image>As shown in the figure, consider the following elliptical orbit of a comet around a star: Which of the following expressions corresponds to the time that the comet takes to go from point A to point B as a function of the period of the comet (T) and the eccentricity of the orbit (e)? Assume that the direction of the orbit is counterclockwise.","Step1: $\frac{\Delta t}{T} = \frac{A_{swept}}{A_{total}}$

Get:

$\frac{\Delta t}{T} = \frac{2 * \frac{acb}{2} + \frac{\pi ab}{2}}{\pi ab}$

$\frac{\Delta t}{T} = \frac{aeb + \frac{\pi ab}{2}}{\pi ab}$

$\frac{\Delta t}{T} = \frac{e}{\pi} + \frac{1}{2}$

$\Delta t = \left(\frac{e}{\pi} + \frac{1}{2}\right) * T$

Note: In the calculations, the semi-major axis was denoted by $a$ and the semi-minor axis was denoted by $b$.

Final_answer:  $\boxed{\Delta t = \left(\frac{e}{\pi} + \frac{1}{2}\right) * T}$",$\Delta t = \left(\frac{e}{\pi} + \frac{1}{2}\right) * T$,Yes,JSTL-Fig-6,0.735
"An astronomer observes an eclipsing binary star system from Earth, and he plots the following light curve. <image>JSTL-Fig-7</image>As shown in the figure, suppose that both stars have circular orbits and the distance between the stars is 14.8 AU. What is the total mass of the binary star system in terms of solar masses?","Step1: The time difference between the primary and secondary eclipses is 4.2 years. These eclipses when one star covers the other. Thus, we observe that the period of orbit is twice this, or 8.4 years. The semimajor axis is 14.8 AU, so by Kepler's Third Law.

Get:

$T^{2}=\frac{a^{3}}{M} \Longrightarrow M=\frac{a^{3}}{T^{2}}=\frac{14.8^{3}}{8.4^{2}}=46 M_{\odot}$

Final_answer:  $\boxed{46 M_{\odot}}$",$46 M_{\odot}$,Yes,JSTL-Fig-7,0.735
"A certain artificial Earth satellite moves around the Earth in a circular orbit lying in the Earth's equatorial plane.  An observer in Tehran, at latitude $\phi = 35.6^{\circ}$, sees the satellite cross the local meridian (culmination) with a zenith distance of $z = 46.0^{\circ}$. Please calculate the geocentric distance of the satellite (in units of the Earth's radius). A schematic diagram is shown <image>JSTL-Fig-8</image>.","Step1: As shown in the figure, the observer is at point O, and the satellite is at point S.  

$\angle EOS$ is: $\angle EOS = 180^{\circ} - z = 134^{\circ}$,  

$\delta = 180^{\circ} - \varphi - \angle EOS = 10.4^{\circ}$.

Get:

In triangle EOS:  

$\begin{aligned}\frac{R_s}{\sin\angle EOS}=\frac{R}{\sin\delta}\Rightarrow\frac{R_s}{R}=3.98\end{aligned}$

Final_answer: $\boxed{3.98}$",$3.98$,Yes,JSTL-Fig-8,0.525
"In reality, the space between the Sun and the Earth is permeated with the solar wind, which exerts a drag force on CMEs. This drag force can either decelerate or accelerate a CME, depending on the CME's velocity relative to that of the solar wind. To account for the solar wind's influence, we will use a“drag-only” model for distances $R_{\mathrm{obs}}(t)\geq R_0$, where $R_0$ is the distance beyond which the drag force becomes the dominant force affecting the CME's motion. The distance from the surface of the Sun as determined from the “drag-only” model, $R_{\mathrm{D}}(t)$,and velocity, $V_{\mathrm{D}}(t)$, of a CME in this model is given by

$R_{\mathrm{D}}(t)=\frac{S}{\gamma}\ln\left[1+S\gamma(V_{0}-V_{\mathrm{s}})(t-t_{0})\right]+V_{\mathrm{s}}(t-t_{0})+R_{0}$

$V_{\mathrm{D}}(t)=\frac{V_{0}-V_{\mathrm{s}}}{1+S\gamma(V_{0}-V_{\mathrm{s}})(t-t_{0})}+V_{\mathrm{s}}$

where, $\gamma=2\times10^{-8}\text{ km}^{-1}$, $V_{\mathrm{s}}$ is the constant speed of the solar wind, $R_{0}$ and $V_{0}$ are the distance and velocity, respectively, at time $t_{0}$, and $S$ is the sign factor. $S=1$ if $V_{0}>V_{\mathrm{s}}$; $S=-1$ if $V_{0}\leq V_{\mathrm{s}}$.

<image>JSTL-Fig-9</image>As shown in the figure show the observed radial distance from the surface of the Sun, $R_\mathrm{obs}(t)$ (measured in R$_\odot)$, as a function of time, $t$ (in hours), for two CMEs: CME-3 and CME-4. The last data point in each table (D5 and P8, respectively) corresponds to the arrival time of the respective CME at Earth. For this part, assume $V_{\mathrm{s} }= 330$ km $s^{- 1}$.

We shall evaluate if the “drag-only” model satisfactorily predicts the arrival times of these CMEs. To use this model an appropriate choice of $t_0$, and corresponding $R_0$ and $V_{0}$ needs to be made.

For CME-3, take the following two cases:

(C1) $t_0$ is taken as the midpoint of the interval D1-D2 .

(C2) $t_0$ is taken as the midpoint of the interval D3-D4.

Assume the velocity remains constant in each specific interval D1-D2 and D3-D4, but may differ between the two intervals. Using $t_{0},R_{0}$, and $V_{0}$, calculate the difference between the observed and the predicted radial distance, $\delta R_{\mathrm{D}}\equiv R_{\mathrm{obs}}(t)-R_{\mathrm{D}}(t)$ in units of R$_\odot$ at $t=58.05h$,  for each of the two cases.","Step1: Inserting, $R_{0}$, $t_{0}$, $V_{0}$, and $V_{s}$ in the given expression

$R_{\mathrm{D}}(t)=\frac{S}{\gamma} \ln \left[1+S \gamma\left(V_{0}-V_{s}\right)\left(t-t_{0}\right)\right]+V_{s}\left(t-t_{0}\right)+R_{0},$

we get: Case C1:  $R_{0}=\frac{7.99+6.36}{2}$,  $R_{0}=7.18 R_{\odot}$,  $t_{0}=\frac{0.20+0.48}{2}=0.340 \mathrm{~h}$, $V_{0}=\frac{(7.99-6.36) \times 695700}{(0.48-0.20) \times 3600}$,  $V_{0}=1.12 \times 10^{3} \mathrm{~km} \mathrm{~s}^{-1}$

Get:

we get, $R_{\mathrm{D}}=210.61 \mathrm{R}_{\odot}$ at $t=58.05 \mathrm{~h}$.

Final_answer: $\boxed{\delta R_{\mathrm{D}}=214-210.61=3.39\:\mathrm{R}_{\odot}}$

Step2: Case C2: $R_{0}= \frac {11. 99+ 13. 51}2= 12. 8$ $\mathrm{R} _{\odot }$,  $t_{0}=\frac{1.22+1.49}{2}=1.36h$,  $V_0=\frac{(13.51-11.99)\times695700}{(1.49-1.22)\times3600}$,  $V_0=1.09\times10^3\:\mathrm{km}\:\mathrm{s}^{-1}$

Get:

Using the expression above, $R_{\mathrm{D} }= 210. 86$ $R_{\odot }$ at t= 58. 05

Final_answer: $\boxed{\delta R_{D}=214-210.86=3.14R_{\odot}}$",Final_answer: $\delta R_{D}=214-210.86=3.14R_{\odot}$,Yes,JSTL-Fig-9,1.092
"The rotation curve of our Galaxy is determined using line-of-sight velocity measurements of neutral hydrogen (HI) clouds along various Galactic longitudes, observed through the 21cm HI line Consider an HI cloud with Galactic longitude $l$, located at a distance $R$ from the Galactic Centre (GC) and a distance $D$ from the Sun. Consider Sun to be at a distance $R_0=8.5$ kpc from the GC. Assume that both the Sun and the HI cloud are in circular orbits around the GC in the Galactic plane, with angular velocities $\Omega_0$ and $\Omega$, and rotational velocities $V_0$ and $V$,respectively.

The line-of-sight velocity (V<sub>r</sub>) and transverse velocity (V<sub>t</sub>) components of the cloud, as observed from the Sun, can be expressed as  $V_{r} = (\Omega - \Omega_{0})R_{0} \sin l$, $V_{t} = (\Omega - \Omega_{0})R_{0} \cos l - \Omega D$,Seen from the North Galactic Pole, the Galactic rotation is clockwise. Throughout this problem we shall take line-of-sight velocity to be positive when receding and clouds will be treated as point objects.

<image>JSTL-Fig-10</image>As shown in the figure shows the average radial (solid, red curve) and transverse (dashed, blue curve) velocity components of stars at a distance of 100 pc from the Sun, plotted as a function of Galactic longitude.

Using the graph, estimate the Sun’s orbital period (P) around the GC in mega-years (Myr).","Step1: $\text { Consider } l=90$, 

$V_{\mathrm{r}}=0 \text { implying } \Omega=\Omega_{0}$

$V_{\mathrm{t}}=-\Omega_{0} D=-2.75 \mathrm{~km} \mathrm{~s}^{-1}$

$\Omega_{0}=8.91 \times 10^{-16} \mathrm{rad} \mathrm{~s}^{-1}$

Get:

$P=\frac{2\pi}{\Omega_0}=224\:\mathrm{Myr}$

Final_answer: $\boxed{224Myr}$",$224Myr$,Yes,JSTL-Fig-10,0.84
