Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer,Image Lable,Image Name
0.455,"You are an astronaut exploring a newly discovered planet Y. Planet Y has a mass that is 4.32 times the mass of Earth and a radius that is 0.70 times the radius of Earth.

If your mass is 78.1 kg, determine:
1. The formula for the gravitational force acting on you on Earth.
2. The gravitational force acting on you on planet Y.
3. How the gravitational force on planet Y compares to that on Earth.","### Step 1: Gravitational force on Earth
The gravitational force experienced by an object of mass $m$ on Earth is given by

\[
F_{\text{Earth}} = \frac{G M_{\text{Earth}} m}{R_{\text{Earth}}^2}
\]

Substituting the known values:

\[
F_{\text{Earth}} = \frac{(6.67430 \times 10^{-11})(5.972 \times 10^{24})(78.1)}{(6.371 \times 10^6)^2}
\]

This gives:
\[
F_{\text{Earth}} \approx 767.24\ \text{N}
\]

### Step 2: Gravitational force on planet Y
The same formula applies, but with the planet's mass and radius:

\[
F_{\text{Y}} = \frac{G M_{\text{Y}} m}{R_{\text{Y}}^2}
\]

where:
- $M_{\text{Y}} = 4.32 M_{\text{Earth}}$
- $R_{\text{Y}} = 0.70 R_{\text{Earth}}$

Substituting:

\[
F_{\text{Y}} = \frac{G (4.32 M_{\text{Earth}}) m}{(0.70 R_{\text{Earth}})^2}
\]

Numerically, this yields:
\[
F_{\text{Y}} \approx 6792.57\ \text{N}
\]

### Step 3: Comparison of forces
The ratio of the gravitational force on planet Y to that on Earth is:

\[
\frac{F_{\text{Y}}}{F_{\text{Earth}}} = \frac{4.32}{(0.70)^2}
\]

Thus, the gravitational force on planet Y is approximately 8.85 times the force experienced on Earth.","Gravitational force on Earth: 767.24 N
Gravitational force on planet Y: 6792.57 N
Planet Y exerts 8.85 times the gravitational force of Earth.",No,
0.525,"You are an astronaut exploring a newly discovered planet Y.

Planet Y has a mass that is **4.97 times** the mass of Earth and a radius that is **3.21 times** the radius of Earth.

How does the gravitational force acting on you while standing on planet Y compare to the gravitational force on Earth?

Express your answer as a decimal multiplier of Earth's gravitational force.","### Step 1: Write the gravitational force formula

The gravitational force on an object at the surface of a planet is given by:

\[
F = \frac{G M m}{R^2}
\]

where:
- \(G\) is the gravitational constant,
- \(M\) is the mass of the planet,
- \(m\) is the mass of the object (the astronaut),
- \(R\) is the radius of the planet.

### Step 2: Express the values for planet Y

The mass of planet Y is:

\[
M_Y = 4.97 M_{Earth}
\]

The radius of planet Y is:

\[
R_Y = 3.21 R_{Earth}
\]

### Step 3: Substitute into the gravitational force formula

\[
F_Y = \frac{G \left(4.97 M_{Earth}\right) m}{\left(3.21 R_{Earth}\right)^2}
\]

### Step 4: Compare with Earth's gravitational force

The gravitational force on Earth is:

\[
F_{Earth} = \frac{G M_{Earth} m}{R_{Earth}^2}
\]

Taking the ratio:

\[
\frac{F_Y}{F_{Earth}} = \frac{4.97}{(3.21)^2}
\]

### Step 5: Compute the numerical value

\[
\frac{F_Y}{F_{Earth}} = 0.4823
\]
",The gravitational force on planet Y is **0.4823 times** the gravitational force on Earth.,No,
0.35,"You are an astronaut visiting a newly discovered planet Y. This planet has a mass 4.36 times that of Earth and a radius 1.73 times Earth's radius.

How does your weight on planet Y compare to your weight on Earth? Give your answer as a multiplier relative to your Earth weight.","Weight is the gravitational force acting on a body. According to Newton's law of universal gravitation, the gravitational acceleration at the surface of a planet is given by:

    g = G M / R²

where:
  G is the universal gravitational constant,
  M is the mass of the planet,
  R is the radius of the planet.

Since weight W is proportional to g, the ratio of your weight on planet Y to your weight on Earth is:

    W_Y / W_E = (M_Y / M_E) / (R_Y / R_E)²

Substituting the given values:

    W_Y / W_E = 4.36 / (1.73)²

    W_Y / W_E = 4.36 / 2.9800

    W_Y / W_E = 1.4638

This ratio represents how many times heavier (or lighter) you would be on planet Y compared to Earth.",You would weigh approximately 1.46 times your Earth weight.,No,
0.35,"- **Check Your Understanding – Height of a Geosynchronous Orbit**
- Given:
  - Gravitational parameter of Earth, μE = 399507.5 km³ s⁻²
  - Angular velocity of Earth, ωE = 7.284e-05 rad s⁻¹
  - Radius of the Earth, RE = 6384.0 km

- How high above the surface of the Earth is a satellite in a geosynchronous orbit? Assume a circular orbit. Provide the distance in kilometers.","- A geosynchronous orbit requires the satellite to have the same angular velocity as Earth, so ωS = ωE.
- For a circular orbit, the orbital velocity can be written as:
  \[
  V_S = \sqrt{\frac{\mu_E}{R_S}}
  \]
- The velocity can also be expressed in terms of angular velocity:
  \[
  V_S = \omega_S R_S
  \]
- Equating the two expressions and solving for the orbital radius R_S:
  \[
  R_S = \left( \frac{\mu_E}{\omega_E^2} \right)^{1/3}
  \]
- Substituting the given values:
  \[
  R_S = \left( \frac{399507.5}{(7.284e-05)^2} \right)^{1/3}
  = 42,225.8\,\text{km}
  \]
- The height above Earth's surface is the orbital radius minus Earth's radius:
  \[
  h = R_S - R_E = 42,225.8 - 6384.0
  = 35,841.7\,\text{km}
  \]","The satellite is approximately 35,841.7 km above the Earth's surface.",No,
0.525,"The planet Planet A orbits its star in 370.223 days. The semi-major axis of Planet A's orbit is 1.930e+09 km.

Another planet, Planet B, orbits the same star with a semi-major axis of 3.284e+09 km.

Using Kepler’s third law, determine the orbital period of Planet B. Provide your answer in years.","### Step 1: State Kepler’s Third Law

For planets orbiting the same star, Kepler’s third law states:

\[
T^2 \propto a^3
\]

This allows us to write the ratio of orbital periods as:

\[
\frac{T_{target}}{T_{ref}} = \left(\frac{a_{target}}{a_{ref}}\right)^{3/2}
\]

### Step 2: Substitute Known Values

\[
T_{target} = 370.223 \left(\frac{3.284e+09}{1.930e+09}\right)^{3/2}
\]

### Step 3: Compute the Orbital Period

\[
T_{target} \approx 821.56 \text{ days}
\]

### Step 4: Convert Days to Years

\[
T_{target} = \frac{821.56}{370.223} \approx 2.22 \text{ years}
\]
","The orbital period of Planet B is approximately 821.56 days, or 2.22 years.",No,
0.525,"An interplanetary probe is placed into a circular orbit around a planet. The probe orbits at an altitude of 18,753 km above the planet’s surface, with an orbital velocity of 1.32 km/s. The diameter of the planet is 10,235 km, and the planet orbits the Sun at a distance of 2.349 AU.

Given:
1 AU = 1.495 × 10⁸ km
1 year = 3.156 × 10⁷ s

Using Kepler’s third law, calculate the mass of the planet in terms of the mass of the Sun, M_S. Provide your answer in decimal form with units of M_S.","### Step 1: Orbital period of the planet around the Sun
Using Kepler’s third law (with the Sun’s mass dominating):

\[
T_P = a_P^{3/2}
\]

\[
T_P = 2.349^{3/2} = 3.601 \text{ years}
\]

---

### Step 2: Semi-major axis of the probe’s orbit
The orbital radius is the planet’s radius plus the probe altitude:

\[
a_V = 18,753 + \frac{10,235}{2}
\]

\[
a_V = 23,870.5 \text{ km}
\]

Convert to astronomical units:

\[
a_V = \frac{23,870.5}{1.495 \times 10^8} = 1.597e-04 \text{ AU}
\]

---

### Step 3: Orbital period of the probe
The orbital period is given by:

\[
T_V = \frac{2\pi a_V}{V_V}
\]

\[
T_V = \frac{2\pi \times 23,870.5}{1.32}
= 113,618.2 \text{ s}
\]

Convert to years:

\[
T_V = \frac{113,618.2}{3.156 \times 10^7}
= 3.600e-03 \text{ years}
\]

---

### Step 4: Mass of the planet using Kepler’s third law
For two-body systems:

\[
\frac{M_P}{M_S} =
\left(\frac{T_P}{T_V}\right)^2
\left(\frac{a_V}{a_P}\right)^3
\]

Substitute values:

\[
\frac{M_P}{M_S} =
\left(\frac{3.601}{3.600e-03}\right)^2
\left(\frac{1.597e-04}{2.349}\right)^3
\]

\[
\frac{M_P}{M_S} = 3.141e-07
\]",M_P = 3.141e-07 M_S,No,
0.525,"A comet moves in an elliptical orbit about the Sun in the same plane as the Earth. At a point where the comet crosses the Earth's orbit, its heliocentric speed is 28.63 km/s. Assume the Earth's orbit is circular with a radius of 1.0 AU.

Using the vis-viva equation, calculate the semi-major axis of the comet's orbit.

What is the semi-major axis length of the comet's orbit in Astronomical Units (AU)?","### Step 1: Write down the vis-viva equation
For an object orbiting the Sun:

\[
v = \sqrt{\mu \left( \frac{2}{r} - \frac{1}{a} \right)}
\]

where:
- \( v \) is the heliocentric speed,
- \( r \) is the heliocentric distance,
- \( a \) is the semi-major axis,
- \( \mu = 4\pi^2 \) AU³/yr².

### Step 2: Convert the speed to AU/year
\[
v = 28.63 \text{ km/s} = 6.040 \text{ AU/year}
\]

### Step 3: Substitute known values
\[
\frac{v^2}{\mu} = \frac{(6.040)^2}{4\pi^2} = 0.9242
\]

### Step 4: Solve for the semi-major axis
\[
\frac{1}{a} = \frac{2}{1.0} - 0.9242 = 1.0758
\]

\[
a = \frac{1}{1.0758} = 0.930 \text{ AU}
\]
",The semi-major axis of the comet's orbit is approximately 0.930 AU.,No,
0.35,"A comet moves in an elliptical orbit about the Sun, coplanar with the Earth's orbit. It is observed to cross the Earth's circular orbit (radius = 1.00 AU) with a heliocentric speed of 34.28 km/s at a true anomaly of 63.3°. 

Assuming the gravitational parameter of the Sun is $\mu = 1.327 \times 10^{11}\ \mathrm{km^3\,s^{-2}}$, determine the eccentricity of the comet's orbit.","### Step 1: Use the vis-viva equation to find the semi-major axis

The vis-viva equation is:

\[\nv^2 = \mu\left(\frac{2}{r} - \frac{1}{a}\right)\n\]\n\nRearranging for the semi-major axis $a$:

\[\n\frac{1}{a} = \frac{2}{r} - \frac{v^2}{\mu}\n\]\n\nSubstituting $r = 1.496e+08$ km and $v = 34.28$ km/s:

\[\na = 2.215e+08\ \mathrm{km} = 1.4804\ \mathrm{AU}\n\]\n\n### Step 2: Use the orbit equation to solve for eccentricity

For an elliptical orbit:

\[\nr = \frac{a(1-e^2)}{1 + e\cos f}\n\]\n\nRearranging leads to a quadratic equation in $e$:

\[\na e^2 + (r\cos f)e + (r - a) = 0\n\]\n\nSubstituting $a = 1.4804$ AU, $r = 1.00$ AU, and $f = 63.3^\circ$:

\[\ne = 0.43770\n\]\n\nThe physically meaningful solution is the one with $0 < e < 1$.",0.4377,No,
0.595,"A comet moves in an elliptical orbit about the Sun, coplanar with Earth's orbit. The comet is observed to cross Earth's circular orbit (radius = 1.0 AU) with a heliocentric speed of 31.55 km/s at a true anomaly of 143.8°. 

Assuming the Sun’s gravitational parameter is normalized, calculate:
1) The semi-major axis of the comet’s orbit
2) The eccentricity of the orbit
3) The time until the comet next crosses Earth's orbit

Provide the time in years.","
### Step 1: Apply the Vis-Viva Equation

The vis-viva equation is:

\[
v^2 = \mu \left(\frac{2}{r} - \frac{1}{a}\right)
\]

Rearranging for the semi-major axis:

\[
a = \frac{1}{2 - (v / v_\oplus)^2}
\]

Substituting values:

\[
a = \frac{1}{2 - (31.55 / 29.78)^2} = 1.139 \text{ AU}
\]

---

### Step 2: Compute the Orbital Eccentricity

Using the polar equation of an ellipse:

\[
r = \frac{a(1 - e^2)}{1 + e \cos f}
\]

Solving for eccentricity gives:

\[
e = 0.9114
\]

---

### Step 3: Determine the Orbital Period

Kepler’s Third Law:

\[
T = \sqrt{a^3} = \sqrt{1.139^3} = 1.216 \text{ years}
\]

---

### Step 4: Compute the Mean Anomaly at First Crossing

Convert true anomaly to eccentric anomaly:

\[
E = 66.76^\circ = 1.165 \text{ rad}
\]

Mean anomaly:

\[
M_1 = E - e \sin E = 0.3277
\]

Mean motion:

\[
n = \frac{2\pi}{T} = 5.1658 \text{ rad/year}
\]

Time at first crossing:

\[
t_1 = \frac{M_1}{n} = 0.0634 \text{ years}
\]

---

### Step 5: Time of Next Orbit Crossing

The next crossing occurs at a true anomaly of:

\[
f_2 = f + 180^\circ
\]

Repeating the above steps gives:

\[
t_2 = 1.2138 \text{ years}
\]

---

### Step 6: Time Between Crossings

\[
\Delta t = t_2 - t_1 = 1.1504 \text{ years}
\]
","Semi-major axis: 1.139 AU
Eccentricity: 0.9114
Time until next Earth-orbit crossing: 1.150 years",No,
0.525,"An artificial probe is orbiting a planet in a circular orbit. The planet has a radius of 4495 km. The probe initially orbits at an altitude of 18597 km above the surface and must be transferred to a higher circular orbit at an altitude of 27795 km using a Hohmann transfer orbit.

Assume the gravitational parameter of the planet is 3.31e+04 km³/s².

What is the first velocity increment (ΔV₁) required to place the probe onto the Hohmann transfer orbit?","### Step 1: Determine the orbital radii
The radius of the initial circular orbit is:

r₁ = R + h₁ = 4495 km + 18597 km = 23092 km

The radius of the final circular orbit is:

r₂ = R + h₂ = 4495 km + 27795 km = 32290 km

---
### Step 2: Compute the circular velocity in the initial orbit
The circular orbital velocity is given by:

v₁ = √(μ / r₁)

v₁ = √(3.31e+04 / 23092) = 1.197 km/s

---
### Step 3: Compute the semi-major axis of the Hohmann transfer orbit
For a Hohmann transfer, the semi-major axis is:

a = (r₁ + r₂) / 2

a = (23092 + 32290) / 2 = 27691 km

---
### Step 4: Compute the velocity at periapsis of the transfer orbit
The velocity at periapsis of the transfer ellipse is:

v_p = √[ μ ( 2/r₁ − 1/a ) ]

v_p = √[3.31e+04 × (2/23092 − 1/27691)]
v_p = 1.292 km/s

---
### Step 5: Determine the first velocity increment
The first velocity increment is the difference between the transfer-orbit velocity at periapsis and the initial circular velocity:

ΔV₁ = v_p − v₁

ΔV₁ = 1.292 − 1.197
ΔV₁ = 0.096 km/s
",ΔV₁ = 0.096 km/s,No,
